title,heading,content,tokens
it,อัพเกรด-ปากกายี้ห้อ?,"- iPad ที่มหาวิทยาลัยมอบให้ รุ่น Gen8 32 GB+WiFi พร้อมปากกาแบรนด์อื่น
- สอบถามการอัพเกรด - ลงชื่อจองเครื่องที่เพจของบริษัท https://www.facebook.com/utccipad""
- ไม่สามารถอัพเกรดข้ามรุ่นได้",100
it,ตรวจสอบวันนัด?,"- ตรวจสอบวันนัดหมายได้ที่ https://checkoutipad.utcc.ac.th/chk_appointment.php
- หากพบข้อมูล นศ ไปรับเครื่องตามวัน เวลา สถานที่นัดหมายได้เลยค่ะ 
- หากตรวจสอบไม่พบวันนัดหมาย แสดงว่านักศึกษาทำนัดในระบบไม่สำเร็จ ต้องลงทะเบียนรับเครื่องในลิงค์ที่ได้รับ SMS ก่อน (ทำขั้นตอน 1-4)
- นักศึกษายังไม่ได้รับ SMS รอคิวรอบถัดไป",100
it,"ทุน Gold,Silver,ปวส,ป.ตรีใบที่2 จ่ายค่าระบบเท่าไหร่?","- นักศึกษาทุนต่างๆของมหาวิทยาลัย /วุฒิ ปวส-เทียบโอน / ปริญญาตรี ใบที่ 2 ต้องชำระค่าระบบ(ไอแพด) ก่อน 
หรือ โอนเงินผ่านธนาคารกสิกรไทย เลขบัญชี 045-1-15437-0 
ชื่อ มหาวิทยาลัยหอการค้าไทย กระแสรายวัน
ดูตารางค่าระบบ : https://checkoutipad.utcc.ac.th/images/ipad_cliam.jpg",100
ipad,ตรวจสอบวันนัด?,"-ตรวจสอบวันนัดหมายได้ที่ https://checkoutipad.utcc.ac.th/chk_appointment.php
- หากพบข้อมูล นศ ไปรับเครื่องตามวัน เวลา สถานที่นัดหมายได้เลยค่ะ 
- หากตรวจสอบไม่พบวันนัดหมาย แสดงว่านักศึกษาทำนัดในระบบไม่สำเร็จ ต้องลงทะเบียนรับเครื่องในลิงค์ที่ได้รับ SMS ก่อน (ทำขั้นตอน 1-4)
- นักศึกษายังไม่ได้รับ SMS รอคิวรอบถัดไป",100
it,จ่ายค่าเทอมเท่าไรถึงจะได้รับiPad?,"-นักศึกษาชำระค่าเทอมเต็มจำนวน หรือ ขั้นต่ำ 15,000 บาท (ไม่รวมส่วนลดใดๆ ทั้งสิ้น) ถึงจะมีสิทธิ์รับเครื่อง iPad และรอคิวรับ SMS
- สำหรับนักศึกษาที่จ่ายบางส่วน และต้องการจ่ายให้ครบ 15,000 บาท *สอบถามชำระค่าเทอมที่ศูนย์รับสมัครนักศึกษา โทร. 026976767-8 หรือ @utcccare เมื่อชำระเงินครบแล้วรอคิวรับ SMS รอบต่อไป",100
ipad,อยู่ ตจว.รับเครื่องแทนได้ไหม/การเตรียมตัวรับเครื่อง?,"-นักศึกษาอยู่ต่างจังหวัด มหาวิทยาลัยกำลังหาวิธีจัดสรรให้ นศ สะดวกที่สุด อาจมีค่าใช้จ่ายในการจัดส่งที่ นศ ต้องรับผิดชอบเอง *รอประกาศจาก มกค
-มหาวิทยาลัยยังไม่มีนโยบายให้ผู้ปกครองหรือญาติรับ iPad แทน *หากมีการเปลี่ยนแปลงจะแจ้งให้ทราบภายหลัง
-นักศึกษาต้องมารับ iPad ทีมหาวิทยาลัยด้วยตนเองพร้อมกับยืนยันตัวตน 
*เตรียมบัตรประจำตัวประชาชนมาแสดงในวันรับเครื่อง
*การแต่งกาย ใส่ชุดไปรเวท หรือชุดใดๆก็ได้ 
*จำเป็นต้องสวมใส่หน้ากากอนามัยเมื่อเข้ามารับ iPad อย่างเคร่งครัด
*โปรดนำถุงผ้ามาด้วยในวันรับเครื่อง",100
it,อยู่ต่างจังหวัดมีส่งเครื่องให้ไหม/การเตรียมตัวรับเครื่อง?,#NAME?,100
it,ชื่อ-นามสกุล ที่แสดงใน mail ไม่ถูกต้อง,"1. กรุณาแจ้ง รหัสนักศึกษา , ชื่อ-นามสกุล ภาษาไทย-อังกฤษ
เมื่อแก้ไขเรียบร้อยแล้ว ระบบต่างๆ จะค่อยๆ Update 
2. ให้นักศึกษาลองเข้าใช้งาน App ต่างๆ อีกครั้ง โดยต้อง Sign-Out แล้ว Sign-In เข้าใช้งานใหม่อีกครั้ง",100
it,ขอติดตั้งโปรแกรม MS Office,"1. เข้า www.office.com หรือเข้าผ่านทาง https://mail.office365.com
2. Login ด้วย mail ของมหาวิทยาลัย",100
it,ไม่ได้ยินเสียงพูดอาจารย์  ,"1. ตรวจเช็คอุปกรณ์  และสัญญาณ Internet 
    ระบบ Window: 1. Join 2. Use computer for audio  3. คลิก Setting 4.กด Test : Speaker และ Microphone
    ระบบ iso: 1.แตะรูปฟันเฟื้อง 2.Settings 3.Audio&video 4. คลิก Use Internet for audio
    ระบบ Android: 1. แตะ 3 จุด ... มุมบนขวา 2.Settings 3.Audio&video 4. คลิก Use Internet for audio
2. update Webex App ให้เป็น version ปัจจุบัน 
3. ปิดเครื่องและเข้าเปิดเครื่องใหม่",100
